Episode,Reward
0,-60.5065
1,-91.8938
2,-86.8561
3,-50.7565
4,-93.5975
5,-89.6689
6,-85.5233
7,-38.7599
8,-92.3248
9,22.0434
10,31.7299
11,-72.3965
12,-75.4911
13,27.2301
14,24.8313
15,4.03615
16,29.2276
17,40.9497
18,54.1738
19,26.0456
20,34.2028
21,-61.2095
22,-58.5047
23,-62.2041
24,-57.7104
25,41.2656
26,44.319
27,48.3206
28,21.5727
29,43.86
30,33.0687
31,63.5368
32,10.5958
33,9.43974
34,54.5234
35,19.7752
36,33.2711
37,40.1128
38,46.922
39,19.6675
40,28.1436
41,22.597
42,48.9347
43,26.4543
44,51.8261
45,26.0327
46,38.1787
47,20.4858
48,35.9034
49,36.0512
50,30.8123
51,67.6632
52,49.2125
53,27.0012
54,43.9164
55,12.1877
56,46.9244
57,22.7154
58,35.4837
59,50.1418
60,33.2005
61,38.9828
62,47.888
63,44.2232
64,29.7033
65,33.5029
66,25.1224
67,37.1488
68,30.878
69,22.9467
70,28.7379
71,18.1474
72,36.8354
73,49.545
74,27.4376
75,21.5627
76,44.444
77,53.1975
78,17.6085
79,21.2159
80,37.1364
81,-71.018
82,-64.566
83,-68.9729
84,-55.9067
85,-55.0629
86,-55.0599
87,-49.1405
88,-56.7581
89,-51.2118
90,-57.2808
91,-50.8415
92,-56.3963
93,22.0216
94,34.8901
95,22.2396
96,22.4265
97,14.8922
98,27.1483
99,19.1466
100,21.7369
101,40.2518
102,20.1059
103,24.3397
104,24.5281
105,19.2532
106,19.7852
107,5.44893
108,21.669
109,11.5869
110,-59.729
111,-51.3573
112,-51.7964
113,-53.5981
114,2.50357
115,0.708036
116,2.05744
117,1.03545
118,-0.483488
119,-3.47693
120,-2.47704
121,0
122,0.165234
123,0
124,0
125,2.74834
126,1.13679
127,1.17637
128,1.90766
129,-6.34208
130,-0.116235
131,0.801001
132,-4.58055
133,1.90816
134,0.748942
135,-0.401052
136,0
137,0
138,0
139,-0.530518
140,-0.411069
141,0
142,0
143,0.705175
144,-66.6424
145,0
146,0
147,0.379807
148,-1.13509
149,-64.6256
150,0
151,0
152,0
153,0
154,-0.150941
155,3.20748
156,-1.91171
157,0
158,-0.319892
159,-0.482783
160,1.91907
161,-1.65203
162,0
163,0
164,0
165,0.396779
166,0.0343078
167,0
168,0
169,0.162294
170,0.590759
171,0
172,0
173,0
174,0.0868463
175,0
176,0
177,0.255144
178,0
179,0
180,0
181,0.301903
182,2.66597
183,0
184,0
185,0.179068
186,0
187,0
188,0
189,0.22531
190,0.0675703
191,1.04976
192,0
193,0
194,0
195,0.0834242
196,0
197,0.297841
198,0.488123
199,0
200,0.813239
201,0
202,12.3211
203,0
204,-0.209574
205,0
206,0
207,0
208,0.085118
209,0
210,0
211,0
212,0.143546
213,0.155564
214,0
215,1.99967
216,0
217,0.785242
218,0
219,0
220,0
221,0.110537
222,0
223,1.78487
224,0
225,0
226,-2.66356
227,0
228,0.266567
229,0.788623
230,-0.471658
231,-0.343043
232,0.132456
233,0.663818
234,0
235,0
236,-0.856456
