Episode,Reward
0,-90.2681
1,-98.47
2,-89.5336
3,-71.6878
4,-6.49078
5,-6.25496
6,-5.61857
7,-6.58531
8,-6.36968
9,-5.92745
10,-7.32334
11,-6.05722
12,-5.48139
13,-5.5281
14,-6.93596
15,-6.98651
16,-5.77453
17,-6.9708
18,-6.94311
19,-5.90964
20,-7.79812
21,-6.56566
22,-5.22782
23,-6.588
24,-6.0915
25,-6.86497
26,0.0669585
27,0.600686
28,0.628637
29,0.61132
30,0.621854
31,0.611193
32,0.785676
33,0.787047
34,0.798257
35,0.787554
36,0.79531
37,0.794258
38,0.779713
39,0.790678
40,0.79044
41,0.788194
42,0.787543
43,0.785364
44,0.785417
45,0.789869
46,0.788592
47,0.855087
48,0.847109
49,0.940687
50,0.939627
51,0.941313
52,0.94057
53,0.941924
54,0.94043
55,0.939345
56,0.941538
57,0.942179
58,0.940644
59,0.941002
60,0.941197
61,0.940764
62,0.940733
63,0.941423
64,0.941006
65,0.941134
66,0.941218
67,0.940433
68,0.940964
69,0.940595
70,0.941152
71,0.941296
72,0.942582
73,0.941553
74,0.940982
75,0.940251
76,0.940168
77,0.940707
78,0.940509
79,0.941934
80,0.939531
81,0.941724
82,0.942461
83,0.941552
84,0.941965
85,0.940626
86,0.940622
87,0.941553
88,0.941487
89,0.940004
90,0.940849
91,0.940907
92,0.941504
93,0.940247
94,0.939915
95,0.941689
96,0.94052
97,0.940777
98,0.940517
99,0.941199
